descricao_imovel,aluguel,condominio,total_mensal,iptu,metragem,endereco,bairro,cidade,zona,quartos,banheiros,garagem
"Apartamento para Aluguel - Auxiliadora, 2 Quartos, 75 m2. Sobre o imóvel:   Valores: - Aluguel: R$ 1500 - Condomínio: R$ 554 - IPTU: R$ 0  Que tal agendar uma visita? Entre em cont...",1500,554,2054,0,75,Avenida Carlos Gomes, Auxiliadora ,Porto Alegre,Zona Norte,2,1,0
"Oportunidade!! Isenção nos dois primeiros meses de aluguel!!  Trata-se de um excelente apartamento de 72 metros quadrados, com dois dormitórios, dois banheiros, uma ampla sala, uma...",900,550,1450,190,72,Rua Octávio de Souza, Nonoai ,Porto Alegre,Zona Sul,2,2,1
"Apartamento localizado no Moinhos de Vento, um dos bairros mais desejados de Porto Alegre. O edifício fica na rua Marquês do Pombal, muito próximo ao Hospital Militar.  O imóvel co...",1980,330,2310,1200,88,Avenida Cristóvão Colombo, Moinhos de Vento ,Porto Alegre,Centro,3,2,0
"Apartamento semi mobiliado com excelente localização, com fácil acesso ao Zaffari, Panvel, Shopping Iguatemi, Restaurantes, Escola Anchieta e Clube Grêmio Náutico união. Fácil aces...",2900,1675,4575,624,178,Avenida Carlos Gomes, Auxiliadora ,Porto Alegre,Zona Norte,3,3,2
"Apartamento semimobiliado de 54m², 2 dormitórios, com área de serviço, 1 vagas de garagem no Bairro Jardim Carvalho.  Condomínio com infra estrutura de lazer completa: portaria 24...",2200,480,2680,110,56,Não Informado, Jardim Carvalho ,Porto Alegre,Zona Leste,2,1,1
"Apartamento para Aluguel - Floresta, 2 Quartos, 70 m2. Sobre o imóvel: Apartamento próximo ao Shopping Total, centro de Porto Alegre e em frente de posto Ipiranga com loja de conve...",1486,120,1606,31,70,Avenida Farrapos, Floresta ,Porto Alegre,Centro,2,1,0
"Apartamento com excelente localização, próximo ao Hipermercado Zaffari. Com fácil acesso para a Avenida Ipiranga. São 57m² distribuídos em 02 dormitórios com armários, ar condicion...",2000,740,2740,156,57,Rua Veador Porto, Santana ,Porto Alegre,Centro,2,1,1
"Leindecker Imóveis aluga apartamento com 90 m² localizado no bairro Santa Cecília, lateral. Imóvel possui 3 dormitórios, sendo 1 suíte, piso parquet, living integrado a sala de jan...",1700,625,2325,0,90,Não Informado, Santa Cecília ,Porto Alegre,Centro,3,3,1
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento mobiliado com excelente localização, com fácil acesso ao Bourbon Shopping, Zaffar...",1300,280,1580,95,76,Rua São Francisco, Santana ,Porto Alegre,Centro,2,1,0
"Apartamento com excelente localização, próximo ao Carrefour Hipermercado, Delegacia de Polícia Civil. Com fácil acesso para a Avenida dos Industriários. São 51m² distribuídos em 02...",1450,9,1459,50,51,Avenida Brasiliano Índio de Moraes, Passo dAreia ,Porto Alegre,Zona Norte,2,1,0
"Apartamento com excelente localização, próximo ao Subway. Com fácil acesso para as Rua Israel Wolf, Rua Tenente Ary Tarragô. São 83m² distribuídos em 03 dormitórios, sendo 01 suíte...",1900,543,2443,105,83,Rua Marina Sirângelo Castello, Jardim Itú Sabará ,Porto Alegre,Zona Norte,3,1,2
"Apartamento no Condomínio MiraFlores, com 02 dormitórios, 01 vaga de garagem, semi mobiliado, quinto andar, com sacada. Excelente posição solar. Cozinha com armários projetados e e...",1700,418,2118,0,60,Rua Doutor Campos Velho, Cristal ,Porto Alegre,Zona Sul,2,2,1
"Leindecker Imóveis aluga apartamento mobiliado com 49,43 m², localizado no bairro Jardim Itu Sabara, lateral. Imóvel com dois dormitorios, living dois ambientes com ar-condicionado...",1250,286,1536,0,49,Rua Franklin, Jardim Itú Sabará ,Porto Alegre,Zona Norte,2,1,1
"Apartamento de 2 dormitórios, com 1 vaga no bairro Central Park!  Imóvel com 54m² de área privativa, super bem distribuído, ensolarado e arejado, piso laminado, com amplas abertura...",2000,430,2430,128,54,Rua Attílio Bilibio, Bom Fim ,Porto Alegre,Centro,2,1,1
"Leindecker Aluga Apartamento com 2 dormitórios sendo 1 suíte, 50 m², banheiro social, cozinha com churrasqueira, sacada, 1 vaga de garagem. Piso cerâmico, posição lateral, orientaç...",1670,284,1954,0,50,Rua Airton Ferreira da Silva, Humaitá ,Porto Alegre,Zona Norte,2,2,1
"APARTAMENTO DE 2 DORMITÓRIOS - Imóvel térreo com 48m2, living com split, cozinha americana (com fogão cooktop, espera para água quente, geladeira, microondas, forno elétrico) , áre...",1300,359,1659,0,48,Não Informado, Ipanema ,Porto Alegre,Zona Sul,2,1,1
"Apartamento com excelente localização, próximo ao Supermercado Livinalli. Com fácil acesso para a Avenida Mãe Apolinária Matias Batista. São 75m² distribuídos em 03 dormitórios com...",1700,443,2143,95,75,Rua Doutor José Bento Corrêa, Morro Santana ,Porto Alegre,Zona Leste,3,1,0
****CARÊNCIA DE 4 MESES NO VALOR DO ALUGUEL****Locação Reversível - Agora é possível tornar-se dono do imóvel utilizando as parcelas do aluguel como entrada na compra de apartament...,2775,0,2775,0,60,Rua Jerônymo Zelmanovitz, São Sebastião ,Porto Alegre,Zona Norte,2,1,1
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento com excelente localização, com fácil acesso ao Asun, Super Kan, Farmácias, Academ...",1300,355,1655,20,45,Avenida João Antônio Silveira, Restinga ,Porto Alegre,Zona Sul,2,1,1
****CARÊNCIA DE 4 MESES NO VALOR DO ALUGUEL****Locação Reversível - Agora é possível tornar-se dono do imóvel utilizando as parcelas do aluguel como entrada na compra de apartament...,2649,0,2649,0,56,Rua Jerônymo Zelmanovitz, São Sebastião ,Porto Alegre,Zona Norte,2,1,1
"Apartamento mobiliado para locação no bairro Glória, com aproximadamente 51m² de área privativa, piso cerâmico, 02 dormitórios sendo 01 suíte, living 02 ambientes com sofá, split e...",1550,470,2020,79,51,Rua Dom Vital, Glória ,Porto Alegre,Zona Sul,2,2,1
"Apartamento com ótima localização, próximo à Rua General Caldwell, mercados, farmácias, e outras comodidades do bairro. São 90 m² de área privativa, onde estão distribuídos em 03 D...",2400,330,2730,118,90,Avenida Érico Veríssimo, Menino Deus ,Porto Alegre,Centro,3,1,1
"Apartamento mobiliado, 55m2, 2 dormitórios com 1 vaga de garagem do Passo da Areia.  Imóvel possui living para dois ambientes com churrasqueira, climatizado com Split e área de ser...",2390,460,2850,90,55,Não Informado, Passo dAreia ,Porto Alegre,Zona Norte,2,1,1
"Apartamento 2 dormitórios com vaga de garagem no condômino Rossi Alto Petrópolis, 1 quarto com ar condicionado, com playground, quadra de esportes, gás central, salão de festas, qu...",1390,350,1740,31,48,Não Informado, Alto Petrópolis ,Porto Alegre,Zona Norte,2,1,1
"Apto 2 dorm, com sol da manhã.Sacada com churrasqueira, garagem.Semi - mobiliado.Prédio com infra completa.",2500,350,2850,100,62,Rua Jari, Passo dAreia ,Porto Alegre,Zona Norte,2,2,1
"Imóvel com 38m² de área privativa, posição solar leste e piso laminado.  O living possui 2 ambientes com sofá, mesa de jantar e estante para televisor, cozinha possuí uma bela cuba...",800,270,1070,28,38,Estrada Cristiano Kraemer, Vila Nova ,Porto Alegre,Zona Sul,2,1,1
"Apartamento para Aluguel - Partenon, 2 Quartos, 69 m2. Sobre o imóvel: .  Valores: - Aluguel: R$ 1200 - Condomínio: R$ 250 - IPTU: R$ 0  Que tal agendar uma visita? Entre em contat...",1200,250,1450,0,69,Avenida Bento Gonçalves, Partenon ,Porto Alegre,Zona Sul,2,1,0
"Apartamento semi mobiliado com excelente localização, com fácil acesso ao Bourbon Shopping, Zaffari, Panvel, McDonald´s, Parques e Restaurantes. Fácil acesso para as Avenidas Ipira...",2900,400,3300,80,68,Rua Riveira, Petrópolis ,Porto Alegre,Centro,2,1,0
"Borges de Moraes aluga apartamento no bairro Jardim Botânico, próximo a PUC, com 87 metros quadrados com 3 quartos sendo 1 suite e 1 banheiro. Living com rebaixo de gesso, churrasq...",1950,650,2600,110,87,Não Informado, Jardim Botânico ,Porto Alegre,Zona Leste,3,1,1
"Apartamento 2 dormitórios com 1 suite, cozinha amerciana com armários sobmedida e churrasqueira, living dois ambientes com janela panorâmica, banheiro social e aréa de serviço, 1 v...",2100,575,2675,0,75,Não Informado, Rio Branco ,Porto Alegre,Centro,2,2,1
"Ótimo apartamento, MOBILIADO, living c/ ar condicionado e sacada, cozinha montada, dois dormitórios todos com armários, camas e ar condicionados. Duas vagas de garagem individuais...",1600,400,2000,157,58,Rua Livramento, Santana ,Porto Alegre,Centro,2,1,2
"Leindecker Imóveis aluga apartamento próximo ao UFRGS Campus Agronomia. São 02 Dormitórios, teto com rebaixamento em gesso, living, cozinha, banheiro social com box de vidro, e vag...",950,350,1300,0,45,Estrada João de Oliveira Remião, Agronomia ,Porto Alegre,Zona Leste,2,1,1
"APARTAMENTO DE 2 DORMITÓRIOS - Imóvel SEMI MOBILIADO com 60m2, living, circulação, cozinha americana com armários e churrasqueira, área de serviço integrada, piso laminado, banheir...",2200,400,2600,0,60,Estrada João Salomoni, Vila Nova ,Porto Alegre,Zona Sul,2,2,1
"Excelente apartamento, mobiliado, com 56m² de área privativa, 02 dormitórios, sendo 01 suite com split, ambos com cama e armários, living dois ambientes, split. sofá, mesa, luminár...",1960,467,2427,73,56,Avenida Bento Gonçalves, Partenon ,Porto Alegre,Zona Sul,2,2,1
Leindecker Imóveis aluga apartamento novo com 02 dormitórios ensolarado e piso laminado. O living possui 2 ambientes com cozinha americana. 01 vaga de estacionamento. Condomínio co...,800,280,1080,0,50,Avenida Protásio Alves, Protásio Alves ,Porto Alegre,Zona Leste,2,1,1
"Apartamento térreo com pátio, 02 dormitórios, sala, banheiro social, cozinha, área de serviço e banheiro auxiliar. Piso de cerâmica em todo o imóvel. Área útil aproximada: 75 m². L...",1290,100,1390,50,75,Rua Jacinto Gomes, Bom Fim ,Porto Alegre,Centro,2,2,0
"Este apartamento é um mimo, para você e sua família se sentirem absolutamente confortáveis! 2 dormitórios amplos, mais banheiro social, cozinha, living e área de serviço!  Localiza...",1150,370,1520,68,75,Rua Itaboraí, Jardim Botânico ,Porto Alegre,Zona Leste,2,1,0
"Leindecker Imóveis aluga apartamento semimobiliado com 52m², localizado no bairro Hípica, lateral. Imóvel com 2 dormitórios (um com ar-condicionado), living, cozinha com churrasque...",1100,246,1346,0,52,Rua Dorival Castilhos Machado, Hípica ,Porto Alegre,Zona Sul,2,1,1
"[ Alugue este imóvel sem fiador, sem burocracia, muito mais rápido e com segurança ] - Apartamento semi mobiliado com excelente localização, com fácil acesso ao Mercado Sempre Útil...",1200,184,1384,24,48,Rua Soely Nunes Rosa, Restinga ,Porto Alegre,Zona Sul,2,1,0
